Name,Description,Lat,Lon
M 4.9 Northern Mid-atlantic Ridge,2012 01 02,16.305,-46.542
M 4.9 Near East Coast Of Honshu,2012 01 02,36.358,141.649
M 4.8 Near East Coast Of Honshu,2012 01 02,36.35,141.871
M 4.7 New Ireland Region,2012 01 02,-3.43,150.708
M 4.5 South Island Of New Zealand,2012 01 02,-43.468,172.875
M 4.5 Fiji Region,2012 01 02,-19.969,-177.735
M 4.4 Samoa Islands,2012 01 02,-14.879,-172.942
M 4.3 Santa Cruz Islands,2012 01 02,-11.06,165.779
M 4.2 Guam Region,2012 01 02,12.108,144.001
M 4.2 Rat Islands,2012 01 02,50.752,178.222
M 4.2 Bougainville Region,2012 01 02,-6.51,154.825
M 4.2 Fox Islands,2012 01 02,52.18,-171.752
M 4.2 Mid-indian Ridge,2012 01 02,-13.353,66.498
M 4.1 Rat Islands,2012 01 02,51.133,178.26
M 4.1 South Of Africa,2012 01 02,-52.8,26.52
M 4.1 North Island Of New Zealand,2012 01 02,-38.654,175.274
M 4 Offshore Oaxaca,2012 01 02,16.09,-94.555
M 3.8 South Island Of New Zealand,2012 01 02,-43.463,172.833
M 3.8 South Island Of New Zealand,2012 01 02,-43.512,172.786
M 3.3 Virgin Islands Region,2012 01 02,19.071,-65.127
M 3.2 Andreanof Islands,2012 01 02,51.125,-178.464
M 3 Virgin Islands Region,2012 01 02,19.013,-65.105
M 3 Central Alaska,2012 01 02,62.926,-148.672
M 3 Baja California,2012 01 02,31.688,-115.955
M 3 Gulf Of Alaska,2012 01 02,58.673,-150.138
M 2.9 Andreanof Islands,2012 01 02,51.891,-179.434
M 2.9 Virgin Islands Region,2012 01 02,18.933,-65.112
M 2.9 Northern California,2012 01 02,38.832,-122.799
M 2.9 Andreanof Islands,2012 01 02,51.429,-172.79
M 2.7 Central Alaska,2012 01 02,62.22,-145.62
M 2.7 Southern Alaska,2012 01 02,59.767,-152.76
M 2.7 Virgin Islands Region,2012 01 02,18.962,-65.113
M 2.6 Puerto Rico Region,2012 01 02,17.889,-66.233
M 2.6 Southern Alaska,2012 01 02,61.48,-150.101
M 2.5 Southern Alaska,2012 01 02,59.441,-153.427
M 2.3 Southern California,2012 01 02,33.951,-116.765
M 5.2 Guam Region,2012 01 03,12.689,143.737
M 4.9 Kuril Islands,2012 01 03,49.389,156.144
M 4.7 Nicobar Islands,2012 01 03,7.787,92.095
M 4.6 Bonin Islands,2012 01 03,28.571,142.823
M 4.6 Tonga,2012 01 03,-18.715,-175.116
M 4.6 Kuril Islands,2012 01 03,45.42,148.505
M 4.6 Kashmir-xinjiang Border Region,2012 01 03,35.776,77.346
M 4.6 Offshore Bio-bio,2012 01 03,-36.994,-74.084
M 4.6 Bonin Islands,2012 01 03,26.938,143.786
M 4.5 Southern Xinjiang,2012 01 03,39.836,77.286
M 4.5 Molucca Sea,2012 01 03,-0.983,126.984
M 4.5 Offshore El Salvador,2012 01 03,13.002,-88.296
M 4.5 Carlsberg Ridge,2012 01 03,6.089,60.691
M 4.5 Bonin Islands,2012 01 03,26.935,143.709
M 4.4 South Of Kermadec Islands,2012 01 03,-33.551,-178.297
M 4.4 Bonin Islands,2012 01 03,26.894,143.667
M 4.3 Fox Islands,2012 01 03,54.25,-165.226
M 4.3 South Of Mariana Islands,2012 01 03,11.944,143.593
M 4.1 Alaska Peninsula,2012 01 03,54.461,-162.767
M 4.1 Channel Islands Reg.,2012 01 03,33.195,-119.449
M 4 Oaxaca,2012 01 03,16.725,-95.303
M 3.7 Hawaii Region,2012 01 03,19.795,-154.884
M 3.4 Oklahoma,2012 01 03,35.536,-96.75
M 3.2 Puerto Rico Region,2012 01 03,19.657,-66.2
M 3 South Of Alaska,2012 01 03,52.691,-164.549
M 2.8 Fox Islands,2012 01 03,52.031,-171.569
M 2.8 Texas Panhandle Region,2012 01 03,35.377,-101.766
M 2.7 Fox Islands,2012 01 03,52.279,-166.032
M 2.6 South Of Alaska,2012 01 03,53.454,-162.293
M 2.5 Puerto Rico Region,2012 01 03,17.848,-65.988
M 2.5 Andreanof Islands,2012 01 03,50.537,-176.282
M 2.5 Puerto Rico Region,2012 01 03,17.952,-66.507
M 2.4 Oklahoma,2012 01 03,35.595,-97.293
M 2.2 San Francisco Bay Area,2012 01 03,37.647,-122.486
M 2.1 San Pedro Channel,2012 01 03,33.506,-118.215
M 5.2 Kepulauan Barat Daya,2012 01 04,-7.354,128.737
M 5.2 Santa Cruz Islands,2012 01 04,-10.67,166.375
M 5.1 Vanuatu,2012 01 04,-14.748,167.44
M 5 Ryukyu Islands,2012 01 04,27.917,130.221
M 5 Tonga,2012 01 04,-15.552,-174.671
M 5 Tonga,2012 01 04,-15.14,-174.663
M 4.9 Bonin Islands,2012 01 04,26.87,143.698
M 4.9 South Of Sumba,2012 01 04,-11.131,119.053
M 4.9 Near N Coast Of New Guinea,2012 01 04,-4.431,144.409
M 4.9 Santa Cruz Islands,2012 01 04,-10.659,166.28
M 4.9 Pacific-antarctic Ridge,2012 01 04,-62.717,-158.38
M 4.8 Bonin Islands,2012 01 04,26.979,143.728
M 4.8 Off East Coast Of Honshu,2012 01 04,38.34,144.326
M 4.8 Taiwan,2012 01 04,23.909,121.659
M 4.8 Pakistan,2012 01 04,26.74,66.169
M 4.8 South Island Of New Zealand,2012 01 04,-43.512,172.814
M 4.7 Kermadec Islands Region,2012 01 04,-28.952,-176.578
M 4.7 Southwestern Siberia,2012 01 04,51.692,95.933
M 4.7 Izu Islands,2012 01 04,31.559,138.015
M 4.7 Simeulue,2012 01 04,2.123,96.74
M 4.6 South Of Kermadec Islands,2012 01 04,-33.866,-178.386
M 4.6 South Of Fiji Islands,2012 01 04,-23.508,-179.936
M 4.5 Bonin Islands,2012 01 04,27.003,143.742
M 4.5 South Of Mariana Islands,2012 01 04,11.922,143.685
M 4.5 Antofagasta,2012 01 04,-21.883,-68.611
M 4.5 Bonin Islands,2012 01 04,26.985,143.802
M 4.5 Offshore Guatemala,2012 01 04,13.456,-90.537
M 4.5 Solomon Islands,2012 01 04,-10.631,163.486
M 4.4 Bonin Islands,2012 01 04,27.04,143.822
M 4.4 Near East Coast Of Honshu,2012 01 04,36.582,141.11
M 4.4 Bonin Islands,2012 01 04,26.932,143.808
M 4.4 Southern Xinjiang,2012 01 04,41.329,83.868
M 4.3 Southeastern Alaska,2012 01 04,59.099,-138.116
M 4.2 Bonin Islands,2012 01 04,26.917,143.354
M 4.2 Southwestern Kashmir,2012 01 04,33.624,74.892
M 4.2 Bonin Islands,2012 01 04,26.883,143.798
M 4 Bonin Islands,2012 01 04,27.005,143.819
M 3.9 Southern Alaska,2012 01 04,59.713,-153.376
M 3.8 Southern Alaska,2012 01 04,59.9,-153.307
M 3.6 South Of Alaska,2012 01 04,54.931,-158.175
M 3.4 Puerto Rico Region,2012 01 04,19.235,-65.162
M 3.4 Southeastern Alaska,2012 01 04,59.071,-138.022
M 3.1 Virgin Islands Region,2012 01 04,18.213,-64.794
M 3 Andreanof Islands,2012 01 04,51.401,-178.116
M 2.8 Southern Alaska,2012 01 04,59.319,-153.227
M 2.7 Northern California,2012 01 04,38.817,-122.797
M 2.7 Mona Passage,2012 01 04,18.139,-67.383
M 2.6 Unimak Island Region,2012 01 04,53.221,-164.536
M 2.6 Unimak Island Region,2012 01 04,53.175,-164.556
M 2.6 South Carolina,2012 01 04,32.966,-80.181
M 2.6 Puerto Rico Region,2012 01 04,18.964,-65.95
M 2.6 Andreanof Islands,2012 01 04,50.364,-175.96
M 2.6 Andreanof Islands,2012 01 04,52.077,-175.508
M 2.6 British Columbia,2012 01 04,59.128,-137.991
M 2.5 Fox Islands,2012 01 04,53.663,-166.405
M 2.5 Central Alaska,2012 01 04,62.834,-148.435
M 2.4 Washington,2012 01 04,47.746,-120.24
M 2 Oklahoma City Area,2012 01 04,35.534,-97.415
M 5.6 Tonga,2012 01 05,-17.691,-173.543
M 5.5 Dominican Republic,2012 01 05,18.325,-70.361
M 5.3 Off Coast Of Aisen,2012 01 05,-45.992,-76.472
M 5.2 Pacific-antarctic Ridge,2012 01 05,-56.146,-143.95
M 5.1 Southern Sumatra,2012 01 05,-0.935,99.069
M 5 Near East Coast Of Honshu,2012 01 05,38.714,142.197
M 4.9 Southern Iran,2012 01 05,27.868,52.014
M 4.9 Central East Pacific Rise,2012 01 05,-3.881,-103.132
M 4.9 Atacama,2012 01 05,-26.035,-68.787
M 4.9 Near East Coast Of Honshu,2012 01 05,35.856,140.798
M 4.8 Sulawesi,2012 01 05,-0.26,122.921
M 4.8 Philippine Islands Region,2012 01 05,10.162,126.467
M 4.8 Bonin Islands,2012 01 05,26.828,143.77
M 4.8 Tonga,2012 01 05,-18.447,-173.638
M 4.8 Fiji Region,2012 01 05,-20.892,-178.534
M 4.8 Near East Coast Of Honshu,2012 01 05,37.534,141.803
M 4.6 Offshore Atacama,2012 01 05,-27.921,-71.143
M 4.6 Dominican Republic,2012 01 05,18.595,-70.567
M 4.5 Solomon Islands,2012 01 05,-10.907,163.523
M 4.5 Eastern Honshu,2012 01 05,37.1,140.444
M 4.5 Tonga,2012 01 05,-18.539,-175.142
M 4.5 Offshore Guatemala,2012 01 05,13.434,-90.522
M 4.4 Kepulauan Barat Daya,2012 01 05,-7.507,127.77
M 4.4 Offshore Guatemala,2012 01 05,13.551,-90.639
M 4.4 Eastern Honshu,2012 01 05,37.076,140.502
M 4.4 Tonga,2012 01 05,-19.881,-175.92
M 4.3 Crete,2012 01 05,34.97,25.43
M 4.2 Kepulauan Barat Daya,2012 01 05,-7.453,128.284
M 4.2 Santa Cruz Islands,2012 01 05,-10.383,166.193
M 4.2 Andaman Islands,2012 01 05,12.841,95.505
M 4.2 Greenland Sea,2012 01 05,73.513,8.126
M 4.2 Fox Islands,2012 01 05,53.523,-165.668
M 4.1 Banda Sea,2012 01 05,-5.539,131.41
M 4.1 Off E. Coast Of N. Island,2012 01 05,-36.957,178.402
M 4.1 North Island Of New Zealand,2012 01 05,-39.534,174.192
M 4 Oaxaca,2012 01 05,17.133,-94.492
M 3.9 Puerto Rico Region,2012 01 05,19.288,-65.303
M 3.7 Unimak Island Region,2012 01 05,53.783,-164.043
M 3.4 Southern Idaho,2012 01 05,42.548,-111.213
M 3.4 Unimak Island Region,2012 01 05,53.849,-164.076
M 3.2 Off Coast Of Northern California,2012 01 05,41.032,-127.178
M 3 Virgin Islands Region,2012 01 05,18.57,-64.448
M 2.8 Alaska Peninsula,2012 01 05,57.802,-156.182
M 2.8 Utah,2012 01 05,40.799,-111.643
M 2.7 Alabama,2012 01 05,33.823,-87.313
M 2.6 Unimak Island Region,2012 01 05,54.121,-164.491
M 2.6 Southern California,2012 01 05,34.193,-117.062
M 5.5 Central East Pacific Rise,2012 01 06,-6.341,-107.312
M 5.1 Southern Mid-atlantic Ridge,2012 01 06,-14.092,-14.263
M 5 Off Coast Of Araucania,2012 01 06,-38.024,-75.091
M 5 Bonin Islands,2012 01 06,26.944,143.559
M 5 Southern Alaska,2012 01 06,59.852,-153.232
M 4.8 East Of North Island,2012 01 06,-37.518,-179.813
M 4.8 New Ireland Region,2012 01 06,-4.535,153.411
M 4.8 Mindoro,2012 01 06,13.642,120.797
M 4.8 South Island Of New Zealand,2012 01 06,-43.51,172.822
M 4.7 New Britain Region,2012 01 06,-5.321,152.534
M 4.6 Fox Islands,2012 01 06,51.847,-170.032
M 4.5 Eastern Turkey,2012 01 06,38.7,43.64
M 4.5 South Island Of New Zealand,2012 01 06,-43.486,172.804
M 4.5 South Of Fiji Islands,2012 01 06,-25.98,-177.369
M 4.5 Fox Islands,2012 01 06,52.01,-170.108
M 4.5 Western Turkey,2012 01 06,36.195,29.061
M 4.4 Myanmar,2012 01 06,25.613,96.963
M 4.4 Andreanof Islands,2012 01 06,52.406,-173.385
M 4.3 Turkey-syria-iraq Border Region,2012 01 06,37.994,42.65
M 4.3 Sulawesi,2012 01 06,-1.244,123.088
M 4.3 Solomon Islands,2012 01 06,-11.029,163.51
M 4.3 South Island Of New Zealand,2012 01 06,-43.508,172.825
M 4.3 Kepulauan Alor,2012 01 06,-8.38,124.858
M 4.2 Bougainville Region,2012 01 06,-4.86,154.907
M 4.2 Tajikistan,2012 01 06,38.767,70.592
M 4.1 Off E. Coast Of N. Island,2012 01 06,-37.585,179.908
M 4.1 Gulf Of California,2012 01 06,25.431,-109.565
M 4 Offshore Oaxaca,2012 01 06,16.04,-94.821
M 4 Guam Region,2012 01 06,12.002,143.67
M 4 Off Coast Of Chiapas,2012 01 06,14.413,-93.91
M 3.9 South Island Of New Zealand,2012 01 06,-43.507,172.821
M 3.5 British Columbia,2012 01 06,57.19,-131.94
M 3.5 Southern California,2012 01 06,33.731,-116.054
M 3.4 Southern Alaska,2012 01 06,59.594,-152.86
M 3.3 Alaska Peninsula,2012 01 06,55.368,-161.989
M 3.3 Central California,2012 01 06,36.002,-117.908
M 3.2 Puerto Rico Region,2012 01 06,18.821,-67.26
M 3.2 Southern Alaska,2012 01 06,60.018,-152.592
M 3.1 Southern California,2012 01 06,34.002,-116.337
M 3 Santa Barbara Channel,2012 01 06,34.398,-119.814
M 3 Puerto Rico Region,2012 01 06,18.641,-66.934
M 2.9 Oklahoma,2012 01 06,35.538,-96.766
M 2.9 Southern Alaska,2012 01 06,60.371,-152.427
M 2.9 Fox Islands,2012 01 06,52.588,-168.955
M 2.8 Southern Alaska,2012 01 06,61.43,-146.74
M 2.7 Andreanof Islands,2012 01 06,51.7,-178.38
M 2.6 Central Alaska,2012 01 06,63.941,-148.893
M 2.5 Central Alaska,2012 01 06,63.032,-150.617
M 2.1 Northern Texas,2012 01 06,32.782,-96.685
M 1.8 Central California,2012 01 06,36.001,-117.991
M 5.7 Kermadec Islands Region,2012 01 07,-28.613,-176.935
M 5.4 Halmahera,2012 01 07,1.705,127.475
M 5.4 Eastern New Guinea Reg.,2012 01 07,-5.081,145.214
M 5.1 Pacific-antarctic Ridge,2012 01 07,-63.697,-166.854
M 5.1 Tonga,2012 01 07,-17.549,-173.318
M 5 Papua,2012 01 07,-3.752,138.055
M 5 New Britain Region,2012 01 07,-4.329,152.594
M 5 Babuyan Isl Region,2012 01 07,19.254,121.191
M 5 Off East Coast Of Honshu,2012 01 07,36.063,142.073
M 4.9 Flores Region,2012 01 07,-8.312,121.518
M 4.9 Santa Cruz Islands,2012 01 07,-10.752,165.706
M 4.8 Santa Cruz Islands,2012 01 07,-10.794,165.997
M 4.8 Tonga,2012 01 07,-18.476,-174.638
M 4.8 Vanuatu,2012 01 07,-18.282,167.955
M 4.8 Izu Islands,2012 01 07,31.586,140.168
M 4.7 Guam Region,2012 01 07,12.251,144.67
M 4.7 Tonga,2012 01 07,-17.774,-173.325
M 4.7 Near East Coast Of Honshu,2012 01 07,37.264,141.278
M 4.7 Southern Sumatra,2012 01 07,-4.698,102.972
M 4.7 South Sandwich Islands Region,2012 01 07,-56.063,-27.075
M 4.7 Southern Iran,2012 01 07,28.1,52.72
M 4.6 Near East Coast Of Honshu,2012 01 07,37.443,141.894
M 4.6 Northern Sumatra,2012 01 07,4.555,96.407
M 4.6 New Britain Region,2012 01 07,-5.33,151.882
M 4.5 Sulawesi,2012 01 07,-4.427,121.72
M 4.5 South Island Of New Zealand,2012 01 07,-43.515,172.791
M 4.4 Near East Coast Of Honshu,2012 01 07,38.146,141.684
M 4.4 Off E. Coast Of N. Island,2012 01 07,-36.697,177.863
M 4.4 Fiji Region,2012 01 07,-21.306,-178.201
M 4.3 Central East Pacific Rise,2012 01 07,-6.511,-107.571
M 4.3 New Ireland Region,2012 01 07,-3.618,151.579
M 4.3 D'entrecasteaux Islands Region,2012 01 07,-8.207,154.061
M 4.3 Pacific-antarctic Ridge,2012 01 07,-63.51,-167.384
M 4.2 Sichuan-guizhou Border Rg,2012 01 07,28.743,105.069
M 4.2 Chiapas,2012 01 07,16.44,-93.105
M 4.2 Kepulauan Babar,2012 01 07,-7.143,129.748
M 4.2 Solomon Islands,2012 01 07,-7.238,155.867
M 4.2 Dodecanese Islands,2012 01 07,35.88,27.23
M 4.2 Near East Coast Of Honshu,2012 01 07,35.592,140.818
M 4.1 Kep. Tanimbar Region,2012 01 07,-8.844,130.39
M 4.1 Chiapas,2012 01 07,15.668,-92.62
M 4.1 Near East Coast Of Honshu,2012 01 07,36.776,141.164
M 4 Banda Sea,2012 01 07,-6.049,130.374
M 3.8 Cook Strait,2012 01 07,-41.374,174.164
M 3 Southern Alaska,2012 01 07,60.652,-152.731
M 3 Mona Passage,2012 01 07,18.17,-67.354
M 2.9 Northern California,2012 01 07,38.807,-122.791
M 2.8 Virgin Islands Region,2012 01 07,18.781,-64.208
M 2.6 Central Alaska,2012 01 07,62.301,-150.944
M 2.6 St. Lawrence Valley Reg.,2012 01 07,47.848,-69.658
M 2.5 Andreanof Islands,2012 01 07,51.214,-178.062
M 2.5 Southern Alaska,2012 01 07,59.186,-153.682
M 2.5 Mona Passage,2012 01 07,18.131,-67.395
M 2.5 Southern Alaska,2012 01 07,61.584,-146.449
M 2.3 New York,2012 01 07,44.942,-74.663
M 2.3 Southern California,2012 01 07,35.652,-117.663
M 2.1 New York,2012 01 07,44.934,-74.63
M 5.3 Vanuatu,2012 01 08,-17.425,167.887
M 5.2 Fiji Region,2012 01 08,-17.897,-178.541
M 5 Northern Xinjiang,2012 01 08,42.203,87.474
M 5 South Of Fiji Islands,2012 01 08,-23.337,-179.895
M 4.9 Bonin Islands,2012 01 08,27.026,143.662
M 4.9 Eastern Honshu,2012 01 08,39.363,141.785
M 4.8 Near S. Coast Of Western Honshu,2012 01 08,33.982,135.475
M 4.8 Near East Coast Of Honshu,2012 01 08,35.391,140.405
M 4.8 Halmahera,2012 01 08,1.462,128.224
M 4.7 Kep. Mentawai Region,2012 01 08,-2.676,99.833
M 4.7 Bonin Islands,2012 01 08,27.071,143.6
M 4.6 Bonin Islands,2012 01 08,27.033,143.696
M 4.5 Kep. Tanimbar Region,2012 01 08,-7.169,130.409
M 4.5 Vanuatu,2012 01 08,-15.575,167.636
M 4.5 Central Peru,2012 01 08,-8.097,-74.296
M 4.5 Solomon Islands,2012 01 08,-11.087,163.521
M 4.5 West Chile Rise,2012 01 08,-36.457,-97.664
M 4.4 South Indian Ocean,2012 01 08,-14.181,87.181
M 4.4 Near East Coast Of Honshu,2012 01 08,38.672,141.917
M 4.4 Mindanao,2012 01 08,9.05,126.223
M 4.4 Kepulauan Alor,2012 01 08,-8.758,124.306
M 4.3 Kepulauan Barat Daya,2012 01 08,-7.801,127.708
M 4.3 Fox Islands,2012 01 08,52.498,-170.203
M 4.2 North Island Of New Zealand,2012 01 08,-38.239,176.018
M 4.1 Hindu Kush Region,2012 01 08,36.038,70.394
M 4.1 Southwestern Siberia,2012 01 08,51.877,95.752
M 4.1 Kepulauan Barat Daya,2012 01 08,-7.17,128.951
M 4.1 South Of Kermadec Islands,2012 01 08,-32.61,-178.254
M 4 Dodecanese Islands,2012 01 08,35.893,27.213
M 4 Central Alaska,2012 01 08,62.25,-145.67
M 4 Southwestern Siberia,2012 01 08,51.6,96.05
M 4 Tonga,2012 01 08,-15.491,-173.713
M 3.6 Fox Islands,2012 01 08,51.891,-171.704
M 3.5 Fox Islands,2012 01 08,52.13,-171.632
M 3.5 Southern California,2012 01 08,33.733,-116.057
M 3.4 Fox Islands,2012 01 08,53.105,-167.094
M 3.3 Baja California,2012 01 08,32.197,-115.265
M 3.3 Alaska Peninsula,2012 01 08,57.837,-156.779
M 3.2 Arizona,2012 01 08,34.826,-110.942
M 3 Central Alaska,2012 01 08,62.66,-150.582
M 3 Wyoming,2012 01 08,42.898,-110.793
M 2.9 Fox Islands,2012 01 08,52.442,-166.874
M 2.9 Puerto Rico,2012 01 08,18.043,-66.084
M 2.9 South Of Alaska,2012 01 08,52.676,-162.269
M 2.8 San Pedro Channel,2012 01 08,33.567,-118.325
M 2.7 Seattle-tacoma Area,2012 01 08,47.752,-122.494
M 2.6 Western Montana,2012 01 08,48.31,-112.37
M 2.6 Alaska Peninsula,2012 01 08,58.843,-154.079
M 2.5 Kodiak Island Region,2012 01 08,56.851,-154.736
M 2.5 Northern California,2012 01 08,38.821,-122.768
M 2.5 Southern Alaska,2012 01 08,61.769,-149.85
M 2 Southern California,2012 01 08,33.726,-116.057
M 1.9 Virginia,2012 01 08,37.925,-77.988
M 6.4 Santa Cruz Islands,2012 01 09,-10.617,165.16
M 5.2 Southern Iran,2012 01 09,27.034,55.726
M 5.2 Offshore Valparaiso,2012 01 09,-32.573,-71.594
M 5.1 Tonga,2012 01 09,-15.063,-174.142
M 5 Kermadec Islands Region,2012 01 09,-29.512,-176.09
M 5 Santa Cruz Islands,2012 01 09,-10.516,165.105
M 5 Near N Coast Of Papua,2012 01 09,-0.814,133.064
M 4.9 Bonin Islands,2012 01 09,26.95,143.644
M 4.8 South Of Fiji Islands,2012 01 09,-25.146,-179.13
M 4.8 Kermadec Islands Region,2012 01 09,-29.599,-176.205
M 4.8 Mauritius - Reunion Region,2012 01 09,-20.236,66.245
M 4.7 Mid-indian Ridge,2012 01 09,-9.685,66.803
M 4.7 Southwestern Siberia,2012 01 09,51.658,95.892
M 4.6 Near East Coast Of Honshu,2012 01 09,36.654,141.466
M 4.6 Near East Coast Of Honshu,2012 01 09,36.732,141.369
M 4.6 Sulawesi,2012 01 09,-0.054,123.17
M 4.6 Offshore Bio-bio,2012 01 09,-38.124,-74.417
M 4.6 Bonin Islands,2012 01 09,27.041,143.574
M 4.6 Bonin Islands,2012 01 09,26.987,143.6
M 4.6 North Island Of New Zealand,2012 01 09,-38.711,174.816
M 4.6 Southwestern Siberia,2012 01 09,51.626,95.95
M 4.5 Offshore Guatemala,2012 01 09,13.83,-90.591
M 4.4 Sulawesi,2012 01 09,-1.602,120.747
M 4.4 Guatemala,2012 01 09,13.953,-90.439
M 4.3 Banda Sea,2012 01 09,-4.546,126.701
M 4.2 Offshore Chiapas,2012 01 09,14.843,-93.079
M 4.2 Tunisia,2012 01 09,36.407,8.187
M 4.1 Taiwan,2012 01 09,24.01,121.61
M 4.1 Antofagasta,2012 01 09,-21.349,-68.757
M 4.1 South Island Of New Zealand,2012 01 09,-43.49,172.84
M 4 Oaxaca,2012 01 09,16.219,-94.461
M 4 Off E. Coast Of N. Island,2012 01 09,-37.522,179.985
M 4 Off E. Coast Of N. Island,2012 01 09,-36.664,176.765
M 4 Nias Region,2012 01 09,1.097,97.157
M 3.8 South Island Of New Zealand,2012 01 09,-43.515,172.796
M 3.1 Off Coast Of Southeastern Alaska,2012 01 09,57.963,-138.718
M 3 South Of Alaska,2012 01 09,53.174,-161.526
M 2.8 Oklahoma,2012 01 09,35.544,-97.279
M 2.8 Alaska Peninsula,2012 01 09,57.114,-155.321
M 2.7 Southern Alaska,2012 01 09,60.065,-152.809
M 2.6 Fox Islands,2012 01 09,53.462,-165.173
M 2.5 Fox Islands,2012 01 09,52.341,-168.803
M 2.5 Central California,2012 01 09,35.73,-121.298
M 2.1 Santa Barbara Channel,2012 01 09,34.277,-119.671
M 7.2 Off W Coast Of Northern Sumatra,2012 01 10,2.433,93.21
M 5.2 Vanuatu Region,2012 01 10,-16.993,171.404
M 5.2 Tonga Region,2012 01 10,-17.414,-172.779
M 5.1 Off W Coast Of Northern Sumatra,2012 01 10,2.386,92.937
M 5 Near Coast Of Ecuador,2012 01 10,-0.74,-80.28
M 4.9 Mozambique,2012 01 10,-21.419,33.12
M 4.9 South Sandwich Islands Region,2012 01 10,-57.195,-24.099
M 4.9 Off W Coast Of Northern Sumatra,2012 01 10,2.902,93.156
M 4.9 Off W Coast Of Northern Sumatra,2012 01 10,2.383,93.307
M 4.8 Off W Coast Of Northern Sumatra,2012 01 10,2.803,93.323
M 4.8 Kepulauan Talaud,2012 01 10,4.008,126.697
M 4.7 Tonga,2012 01 10,-16.297,-173.383
M 4.7 Kermadec Islands,2012 01 10,-30.395,-177.662
M 4.7 Off W Coast Of Northern Sumatra,2012 01 10,2.02,93.797
M 4.7 Off W Coast Of Northern Sumatra,2012 01 10,2.556,92.97
