Name,Description,Lat,Lon
M 6.2 East Of South Sandwich Islands,2012 04 17,-59.016,-16.612
M 6.2 Tarapaca,2012 05 14,-17.678,-69.591
M 6.2 Fox Islands,2012 08 10,52.633,-167.421
M 6.2 Northwestern Iran,2012 08 11,38.389,46.745
M 6.2 Xinjiang-xizang Border Region,2012 08 12,35.661,82.518
M 6.2 Near N Coast Of New Guinea,2012 08 19,-4.766,144.57
M 6.2 Kep. Mentawai Region,2012 09 14,-3.319,100.594
M 6.2 Vanuatu,2012 10 20,-13.552,166.564
M 6.2 Queen Charlotte Islands Region,2012 10 30,52.365,-131.902
M 6.2 Off East Coast Of Honshu,2012 12 07,37.914,143.764
M 6.1 Offshore Bio-bio,2012 01 23,-36.409,-73.03
M 6.1 Vanuatu,2012 02 03,-17.378,167.277
M 6.1 Vanuatu,2012 02 05,-18.894,168.917
M 6.1 Vanuatu,2012 02 05,-17.948,167.226
M 6.1 Santiago Del Estero,2012 03 05,-28.246,-63.294
M 6.1 Off East Coast Of Honshu,2012 03 14,40.781,144.761
M 6.1 Papua,2012 03 20,-3.812,140.266
M 6.1 Near East Coast Of Honshu,2012 03 27,39.859,142.017
M 6.1 New Ireland Region,2012 04 06,-4.551,153.457
M 6.1 Norwegian Sea,2012 05 24,72.96,5.683
M 6.1 Off East Coast Of Honshu,2012 06 05,34.943,141.132
M 6.1 Southern Peru,2012 06 07,-15.877,-72.413
M 6.1 Northern Sumatra,2012 06 23,3.009,97.896
M 6.1 Central Peru,2012 08 02,-8.414,-74.259
M 6.1 New Ireland Region,2012 08 02,-4.654,153.275
M 6.1 South Of Java,2012 09 03,-10.708,113.931
M 6.1 Papua,2012 09 08,-3.177,135.109
M 6.1 Off East Coast Of Honshu,2012 10 01,39.808,143.099
M 6.1 Banda Sea,2012 10 08,-4.472,129.129
M 6.1 Mindanao,2012 11 02,9.212,126.158
M 6.1 Vancouver Island,2012 11 08,49.231,-128.477
M 6.1 Off Coast Of Aisen,2012 11 13,-45.761,-77.053
M 6.1 Coquimbo,2012 11 14,-29.118,-71.19
M 6.1 Guerrero,2012 11 15,18.346,-100.382
M 6.1 Vanuatu,2012 12 02,-16.975,167.645
M 6.1 New Ireland Region,2012 12 15,-4.691,153.012
M 6.1 Sulawesi,2012 12 17,-0.708,123.837
M 6 South Shetland Islands,2012 01 15,-60.882,-55.965
M 6 South Sandwich Islands Region,2012 01 22,-56.759,-25.147
M 6 Negros- Cebu Reg,2012 02 06,9.885,123.095
M 6 South Of Fiji Islands,2012 02 26,-24.495,-177.238
M 6 Near East Coast Of Honshu,2012 03 14,35.687,140.695
M 6 Northern East Pacific Rise,2012 03 26,10.071,-104.16
M 6 Oaxaca,2012 04 02,16.395,-98.316
M 6 North Indian Ocean,2012 04 11,1.254,91.735
M 6 Off Coast Of Oregon,2012 04 11,43.584,-127.638
M 6 Gulf Of California,2012 04 12,28.837,-113.027
M 6 Near N Coast Of Papua,2012 04 21,-1.635,134.197
M 6 Kermadec Islands Region,2012 04 23,-28.556,-177.412
M 6 Offshore Chiapas,2012 05 01,14.376,-92.897
M 6 Northern Italy,2012 05 20,44.89,11.23
M 6 Western Indian-antarctic Ridge,2012 05 23,-50.42,139.516
M 6 Bonin Islands,2012 05 26,26.91,140.055
M 6 Maule,2012 06 07,-36.074,-70.57
M 6 Dodecanese Islands,2012 06 10,36.42,28.88
M 6 Near Islands,2012 06 19,53.351,171.619
M 6 Near East Coast Of Kamchatka,2012 06 24,57.601,163.195
M 6 Kuril Islands,2012 07 08,45.497,151.288
M 6 Kuril Islands,2012 07 20,49.407,155.907
M 6 Santa Cruz Islands,2012 09 05,-12.476,166.513
M 6 Celebes Sea,2012 10 17,4.232,124.52
M 6 Central Peru,2012 11 10,-8.866,-75.071
M 6 New Britain Region,2012 11 19,-5.705,151.602
M 6 Molucca Sea,2012 12 11,0.595,126.247
M 6 Near Islands,2012 12 15,52.268,174.038
M 5.9 South Shetland Islands,2012 01 15,-60.975,-56.072
M 5.9 Off W. Coast Of S. Island,2012 01 19,-46.686,165.778
M 5.9 Kermadec Islands,2012 01 28,-29.43,-177.386
M 5.9 Macquarie Island Region,2012 02 09,-58.312,157.837
M 5.9 Fiji Region,2012 02 10,-17.968,-178.549
M 5.9 Costa Rica,2012 02 13,9.183,-84.121
M 5.9 Taiwan,2012 02 26,22.661,120.891
M 5.9 Southern Xinjiang,2012 03 08,39.383,81.307
M 5.9 Samoa Islands Region,2012 03 19,-14.621,-175.702
M 5.9 North Indian Ocean,2012 04 11,2.199,89.441
M 5.9 Off W Coast Of Northern Sumatra,2012 04 20,3.269,93.821
M 5.9 Easter Island Region,2012 05 10,-28.73,-112.587
M 5.9 Off East Coast Of Honshu,2012 05 19,39.665,143.311
M 5.9 Hokkaido,2012 05 23,41.335,142.082
M 5.9 Western Indian-antarctic Ridge,2012 05 23,-50.352,139.536
M 5.9 Tonga,2012 05 28,-19.962,-175.976
M 5.9 Salta,2012 06 02,-22.059,-63.555
M 5.9 Java,2012 06 04,-7.692,106.371
M 5.9 Taiwan Region,2012 06 09,24.572,122.248
M 5.9 Luzon,2012 06 16,15.593,119.563
M 5.9 Pacific-antarctic Ridge,2012 07 18,-55.661,-128.893
M 5.9 Fiji Region,2012 07 18,-20.872,-178.508
M 5.9 Vanuatu Region,2012 07 21,-19.19,173.789
M 5.9 Offshore Guatemala,2012 07 29,14.191,-92.294
M 5.9 Fiji,2012 08 08,-16.02,178.062
M 5.9 Hokkaido,2012 08 25,42.419,142.913
M 5.9 Kuril Islands,2012 09 09,49.247,155.75
M 5.9 South Of Mariana Islands,2012 09 11,11.838,143.218
M 5.9 Gulf Of California,2012 10 08,25.127,-109.574
M 5.9 West Of Macquarie Island,2012 10 18,-54.217,144.006
M 5.9 Izu Islands,2012 10 23,29.057,139.251
M 5.9 Bismarck Sea,2012 11 15,-3.109,148.27
M 5.9 Tonga Region,2012 11 17,-18.381,-172.32
M 5.9 Libertador O'higgins,2012 11 21,-33.939,-71.868
M 5.9 Salta,2012 11 22,-22.742,-63.571
M 5.9 Near N Coast Of New Guinea,2012 11 29,-3.423,145.562
M 5.9 Central East Pacific Rise,2012 12 17,-4.107,-104.416
M 5.9 Offshore Maule,2012 12 27,-35.782,-73.255
M 5.8 Babuyan Isl Region,2012 01 14,19.202,121.156
M 5.8 Molucca Sea,2012 01 18,-0.877,126.829
M 5.8 Tonga,2012 02 04,-20.536,-174.035
M 5.8 Negros- Cebu Reg,2012 02 06,9.821,123.08
M 5.8 Near East Coast Of Honshu,2012 02 14,36.214,141.386
M 5.8 Off Coast Of Oregon,2012 02 15,43.625,-127.518
M 5.8 Mauritius - Reunion Region,2012 02 16,-17.839,65.405
M 5.8 Leyte,2012 03 16,10.037,125.633
M 5.8 Southern East Pacific Rise,2012 03 17,-34.905,-107.644
M 5.8 North Of Ascension Island,2012 04 10,-1.261,-13.972
M 5.8 North Indian Ocean,2012 04 11,1.271,91.748
M 5.8 North Indian Ocean,2012 04 11,1.841,89.685
M 5.8 Sunda Strait,2012 04 14,-6.81,105.457
M 5.8 Sulawesi,2012 04 16,-2.64,121.855
M 5.8 Southern Greece,2012 04 16,36.632,21.475
M 5.8 Off W Coast Of Northern Sumatra,2012 04 20,2.158,93.36
M 5.8 Near East Coast Of Honshu,2012 04 29,35.596,140.349
M 5.8 West Of Macquarie Island,2012 05 02,-54.565,143.836
M 5.8 Antofagasta,2012 05 19,-25.729,-70.562
M 5.8 South Of Fiji Islands,2012 05 29,-22.13,-179.61
M 5.8 Northern Italy,2012 05 29,44.851,11.086
M 5.8 Near N Coast Of Papua,2012 06 01,-0.72,133.269
M 5.8 Fiji Region,2012 06 07,-20.192,-176.34
M 5.8 South Atlantic Ocean,2012 06 29,-24.747,-9.663
M 5.8 Kuril Islands,2012 07 12,45.452,151.665
M 5.8 Kuril Islands,2012 07 20,49.354,156.132
M 5.8 Fiji Region,2012 08 05,-21.15,-178.358
M 5.8 Southeast Of Easter Island,2012 08 16,-36.429,-98.905
M 5.8 Halmahera,2012 08 18,2.645,128.697
M 5.8 Moro Gulf,2012 09 03,6.61,123.875
M 5.8 Solomon Islands,2012 09 27,-8.838,157.456
M 5.8 Solomon Islands,2012 10 14,-7.145,156.048
M 5.8 Southeast Of Loyalty Islands,2012 10 23,-22.312,171.691
M 5.8 Myanmar,2012 11 11,22.72,95.832
M 5.8 Southern Alaska,2012 12 04,61.237,-150.76
M 5.8 Eastern Iran,2012 12 05,33.49,59.554
M 5.8 Fiji Region,2012 12 14,-15.307,-178.186
M 5.7 Kermadec Islands Region,2012 01 07,-28.613,-176.935
M 5.7 Samar,2012 01 17,11.177,125.837
M 5.7 Santa Cruz Islands,2012 01 19,-10.966,165.57
M 5.7 Flores Region,2012 01 20,-8.406,119.701
M 5.7 Vanuatu,2012 02 03,-17.463,167.187
M 5.7 Near N Coast Of Papua,2012 02 10,-0.324,132.691
M 5.7 Southeast Of Loyalty Islands,2012 03 04,-21.529,169.769
M 5.7 Pacific-antarctic Ridge,2012 03 25,-54.576,-135.923
M 5.7 Eastern Honshu,2012 04 01,37.116,140.957
M 5.7 New Ireland Region,2012 04 01,-4.516,153.427
M 5.7 North Indian Ocean,2012 04 11,2.913,89.544
M 5.7 Near East Coast Of Honshu,2012 04 13,36.988,141.152
M 5.7 Off W Coast Of Northern Sumatra,2012 04 20,3.256,93.853
M 5.7 Southern Mid-atlantic Ridge,2012 04 21,-35.229,-16.181
M 5.7 Molucca Sea,2012 04 23,0.374,125.293
M 5.7 Nicobar Islands,2012 04 25,9.011,93.945
M 5.7 Off W Coast Of Northern Sumatra,2012 04 29,2.704,94.509
M 5.7 North Indian Ocean,2012 04 30,1.757,89.598
M 5.7 Guerrero,2012 05 01,18.251,-101.085
M 5.7 Tonga,2012 05 05,-21.477,-174.227
M 5.7 Tajikistan,2012 05 12,38.612,70.354
M 5.7 New Britain Region,2012 05 16,-5.504,149.711
M 5.7 Fiji Region,2012 06 04,-15.279,-177.919
M 5.7 Hindu Kush Region,2012 06 11,36.023,69.351
M 5.7 Mindanao,2012 06 15,5.719,126.354
M 5.7 Solomon Islands,2012 06 17,-8.511,160.356
M 5.7 Macquarie Island Region,2012 06 22,-54.36,158.79
M 5.7 El Salvador,2012 06 27,13.834,-89.967
M 5.7 Near Coast Of Central Peru,2012 07 02,-14.423,-75.598
M 5.7 New Ireland Region,2012 07 07,-4.651,153.296
M 5.7 Kuril Islands,2012 07 11,45.401,151.424
M 5.7 South Of Fiji Islands,2012 07 11,-26.051,-177.362
M 5.7 Hindu Kush Region,2012 07 12,36.527,70.906
M 5.7 Myanmar,2012 07 29,22.935,94.299
M 5.7 Vanuatu Region,2012 08 18,-13.504,172.379
M 5.7 Tonga,2012 08 18,-15.598,-173.042
M 5.7 Kermadec Islands Region,2012 08 24,-27.311,-176.807
M 5.7 Mindanao,2012 09 03,7.905,125.044
M 5.7 Central East Pacific Rise,2012 09 06,-4.6,-105.891
M 5.7 Mariana Islands Region,2012 09 08,21.527,145.923
M 5.7 Costa Rica,2012 09 08,10.082,-85.323
M 5.7 South Of Java,2012 09 15,-10.732,113.865
M 5.7 Fiji Region,2012 09 20,-20.757,-178.513
M 5.7 Kepulauan Batu,2012 10 03,-0.429,97.672
M 5.7 Northern Mid-atlantic Ridge,2012 10 05,17.479,-46.457
M 5.7 Antofagasta,2012 10 08,-21.725,-68.165
M 5.7 Kuril Islands,2012 10 14,48.308,154.428
M 5.7 Molucca Sea,2012 10 29,-0.142,125.185
M 5.7 Java,2012 11 01,-6.762,107.529
M 5.7 Minahasa,2012 11 06,1.374,122.2
M 5.7 Offshore Guatemala,2012 11 07,13.849,-92.156
M 5.7 Negros,2012 11 14,9.982,122.472
M 5.7 Seram,2012 11 27,-2.952,129.219
M 5.7 Tonga,2012 11 30,-18.824,-175.595
M 5.7 Eastern New Guinea Reg.,2012 12 07,-7.646,147
M 5.7 Central East Pacific Rise,2012 12 17,-3.968,-104.038
M 5.7 Black Sea,2012 12 23,42.437,41.083
M 5.7 Bismarck Sea,2012 12 29,-3.492,148.832
M 5.6 Tonga,2012 01 05,-17.691,-173.543
M 5.6 South Sandwich Islands Region,2012 01 13,-60.548,-27.073
M 5.6 South Shetland Islands,2012 01 16,-60.752,-56.095
M 5.6 Coquimbo,2012 01 17,-31.655,-71.499
M 5.6 Near East Coast Of Honshu,2012 01 28,40.177,142.211
M 5.6 Southern East Pacific Rise,2012 01 28,-36.793,-110.517
M 5.6 New Britain Region,2012 02 02,-6.563,149.774
M 5.6 New Britain Region,2012 02 02,-6.586,149.718
M 5.6 Samar,2012 02 04,11.872,125.754
M 5.6 Vancouver Island,2012 02 04,48.887,-127.906
M 5.6 Negros- Cebu Reg,2012 02 06,10.092,123.227
M 5.6 Offshore Bio-bio,2012 02 11,-37.456,-73.884
M 5.6 Northern California,2012 02 13,41.143,-123.79
M 5.6 Offshore Chiapas,2012 02 20,14.276,-92.779
M 5.6 South Of Kermadec Islands,2012 02 26,-32.495,-177.73
M 5.6 Bonin Islands,2012 02 28,28.2,139.391
M 5.6 Near East Coast Of Honshu,2012 02 29,35.2,141.001
M 5.6 Masbate Region,2012 03 05,12.354,123.7
M 5.6 Papua,2012 03 07,-2.814,138.888
M 5.6 Northwestern Kashmir,2012 03 12,36.741,73.152
M 5.6 Off East Coast Of Honshu,2012 03 14,40.755,144.806
M 5.6 Southwest Indian Ridge,2012 03 26,-30.04,60.653
M 5.6 Kuril Islands,2012 04 14,49.38,155.651
M 5.6 Kermadec Islands Region,2012 04 17,-31.894,-177.236
M 5.6 West Of Macquarie Island,2012 04 22,-52.867,140.29
M 5.6 Kuril Islands,2012 04 23,48.397,154.739
M 5.6 Carlsberg Ridge,2012 04 24,5.649,61.511
M 5.6 South Of Tonga,2012 04 24,-24.228,-175.95
M 5.6 Off W Coast Of Northern Sumatra,2012 04 26,2.696,94.459
M 5.6 New Britain Region,2012 04 28,-5.328,152.11
M 5.6 Near East Coast Of Honshu,2012 04 29,39.745,142.037
M 5.6 Offshore Coquimbo,2012 04 30,-29.868,-71.46
M 5.6 Central Peru,2012 05 06,-13.82,-75.801
M 5.6 Azerbaijan,2012 05 07,41.549,46.789
M 5.6 Off East Coast Of Honshu,2012 05 20,39.548,143.248
M 5.6 Bulgaria,2012 05 22,42.645,22.968
M 5.6 Komandorskiye Ostrova Region,2012 05 29,54.368,168.925
M 5.6 Near N Coast Of Papua,2012 05 31,-0.902,133.181
M 5.6 Near Islands,2012 06 19,53.351,171.701
M 5.6 Myanmar-india Border Region,2012 07 01,25.592,94.696
M 5.6 Eastern Mediterranean Sea,2012 07 09,35.604,28.919
M 5.6 Ryukyu Islands,2012 07 09,29.381,130.099
M 5.6 Near N Coast Of Papua,2012 07 16,-1.296,137.053
M 5.6 Hindu Kush Region,2012 07 19,37.248,71.375
M 5.6 Fiji Region,2012 07 20,-21.222,-179.287
M 5.6 East Of North Island,2012 07 21,-37.713,-179.968
M 5.6 Bismarck Sea,2012 07 22,-4.872,149.532
M 5.6 Southeast Of Loyalty Islands,2012 07 26,-21.103,169.509
M 5.6 Primor'ye,2012 07 29,47.379,139.073
M 5.6 Revilla Gigedo Islands Region,2012 08 09,19.946,-109.332
M 5.6 Central Mid-atlantic Ridge,2012 08 16,7.335,-36.768
M 5.6 Off Coast Of Washington,2012 08 19,47.789,-128.619
M 5.6 Southwest Of Sumatra,2012 08 21,-0.172,92.056
M 5.6 South Of Kermadec Islands,2012 08 24,-33.435,-179.533
M 5.6 Pacific-antarctic Ridge,2012 08 26,-65.478,-179.778
M 5.6 Western Indian-antarctic Ridge,2012 08 30,-50.143,114.08
M 5.6 Philippine Islands Region,2012 08 31,10.388,126.719
M 5.6 Papua,2012 09 06,-3.661,140.252
M 5.6 Kuril Islands,2012 09 11,45.335,151.111
M 5.6 Tonga,2012 09 25,-15.517,-173.901
M 5.6 Luzon,2012 10 07,18.543,120.94
M 5.6 Near N Coast Of Papua,2012 10 09,-2.714,139.212
M 5.6 Off East Coast Of Kamchatka,2012 10 15,51.9,159.379
M 5.6 Kuril Islands,2012 10 16,49.618,156.438
M 5.6 North Island Of New Zealand,2012 10 16,-38.639,176.167
M 5.6 Mid-indian Ridge,2012 10 19,-9.289,67.057
M 5.6 West Of Macquarie Island,2012 10 23,-57.512,148.206
M 5.6 Near East Coast Of Honshu,2012 10 25,38.306,141.699
M 5.6 Central Mid-atlantic Ridge,2012 11 03,7.048,-34.073
M 5.6 Off East Coast Of Honshu,2012 11 05,37.791,143.61
M 5.6 Minahasa,2012 11 06,1.357,122.167
M 5.6 Carlsberg Ridge,2012 11 06,9.963,57.203
M 5.6 Eastern New Guinea Reg.,2012 11 07,-8.652,148.034
M 5.6 Tonga,2012 11 13,-21.043,-175.934
M 5.6 New Britain Region,2012 11 14,-5.86,151.341
M 5.6 Pacific-antarctic Ridge,2012 11 16,-53.955,-134.758
M 5.6 Vanuatu,2012 11 17,-14.99,167.46
M 5.6 Northern Peru,2012 11 28,-4.522,-76.101
M 5.6 Banda Sea,2012 11 28,-5.389,131.069
M 5.6 Pacific-antarctic Ridge,2012 12 03,-54.637,-136.157
M 5.6 Near S Coast Of New Guinea,2012 12 08,-7.211,143.973
M 5.6 Mindanao,2012 12 09,6.719,126.184
M 5.6 Kuril Islands,2012 12 17,49.77,155.889
M 5.5 Dominican Republic,2012 01 05,18.325,-70.361
M 5.5 Central East Pacific Rise,2012 01 06,-6.341,-107.312
M 5.5 Near East Coast Of Honshu,2012 01 12,36.994,141.071
M 5.5 South Of Africa,2012 01 12,-52.113,28.152
M 5.5 South Sandwich Islands Region,2012 01 22,-56.655,-24.899
M 5.5 South Sandwich Islands Region,2012 01 24,-56.336,-27.723
M 5.5 Vanuatu,2012 02 02,-17.954,167.179
M 5.5 Owen Fracture Zone Region,2012 02 04,13.046,57.561
M 5.5 South Sandwich Islands Region,2012 02 09,-56.383,-25.816
M 5.5 Molucca Sea,2012 02 11,-0.978,126.853
M 5.5 Near East Coast Of Honshu,2012 02 14,36.193,141.402
M 5.5 Southern Mid-atlantic Ridge,2012 02 23,-17.699,-13.193
M 5.5 South Of Fiji Islands,2012 02 26,-24.477,-177.5
M 5.5 Off Coast Of Central America,2012 03 04,2.687,-84.34
M 5.5 Alaska Peninsula,2012 03 10,55.146,-157.567
M 5.5 Kuril Islands,2012 03 12,45.239,147.609
M 5.5 Offshore Chiapas,2012 03 13,14.959,-93.026
M 5.5 Near S. Coast Of Honshu,2012 03 15,35.802,139.279
M 5.5 Carlsberg Ridge,2012 03 17,3.823,63.404
M 5.5 Pacific-antarctic Ridge,2012 03 24,-54.367,-136.157
M 5.5 Northern East Pacific Rise,2012 03 26,9.995,-104.228
M 5.5 Pacific-antarctic Ridge,2012 03 28,-57.331,-140.014
M 5.5 Kep. Mentawai Region,2012 04 06,-3.345,100.426
M 5.5 Andreanof Islands,2012 04 11,51.364,-176.097
M 5.5 North Indian Ocean,2012 04 11,1.495,90.854
M 5.5 Off W Coast Of Northern Sumatra,2012 04 11,1.19,92.092
M 5.5 Near East Coast Of Honshu,2012 04 12,37.513,141.468
M 5.5 Bonin Islands,2012 04 18,28.689,138.772
M 5.5 Nicobar Islands,2012 04 24,8.868,93.949
M 5.5 Near East Coast Of Honshu,2012 04 24,35.622,140.472
M 5.5 Banda Sea,2012 04 30,-5.689,128.511
M 5.5 Off Coast Of Baja California Sur,2012 05 01,21.951,-108.44
M 5.5 Southeast Of Easter Island,2012 05 02,-35.883,-102.728
M 5.5 Philippine Islands Region,2012 05 09,6.232,127.45
M 5.5 North Of Ascension Island,2012 05 09,-0.966,-13.6
M 5.5 Northern Italy,2012 05 29,44.888,11.008
M 5.5 Antarctica,2012 06 01,-77.08,-148.864
M 5.5 Mid-indian Ridge,2012 06 03,-16.235,67.21
M 5.5 Taiwan Region,2012 06 06,22.357,121.428
M 5.5 Sunda Strait,2012 06 12,-5.677,105.494
M 5.5 South Sandwich Islands Region,2012 06 13,-55.796,-28.394
M 5.5 Molucca Sea,2012 06 14,1.293,126.828
M 5.5 Fiji Region,2012 06 21,-17.963,-178.186
M 5.5 South Of Kermadec Islands,2012 06 22,-32.935,-178.65
M 5.5 Off W Coast Of Northern Sumatra,2012 06 23,2.628,90.509
M 5.5 Sichuan-yunnan Border Reg,2012 06 24,27.767,100.781
M 5.5 Tonga,2012 06 27,-15.222,-173.268
M 5.5 Southeast Of Loyalty Islands,2012 06 30,-22.088,170.992
M 5.5 Solomon Islands,2012 07 03,-10.82,163.331
M 5.5 Seram,2012 07 12,-2.885,129.321
M 5.5 Near East Coast Of Kamchatka,2012 07 16,55.777,161.234
M 5.5 Tonga,2012 07 26,-21.015,-174.491
M 5.5 Kep. Tanimbar Region,2012 08 02,-6.944,131.121
M 5.5 Fiji Region,2012 08 03,-16.919,-176.916
M 5.5 Pacific-antarctic Ridge,2012 08 12,-63.004,-157.718
M 5.5 Offshore El Salvador,2012 08 15,13.148,-89.215
M 5.5 Northern East Pacific Rise,2012 08 17,8.348,-103.003
M 5.5 Balleny Islands Region,2012 08 24,-63.581,171.324
M 5.5 Southern California,2012 08 26,33.024,-115.549
M 5.5 Offshore El Salvador,2012 08 27,12.297,-88.612
M 5.5 Offshore El Salvador,2012 08 28,12.458,-88.654
M 5.5 Near East Coast Of Honshu,2012 08 29,38.425,141.814
M 5.5 Chiapas,2012 09 01,16.229,-92.773
M 5.5 Sichuan-yunnan-guizhou Rg,2012 09 07,27.575,103.983
M 5.5 Rat Islands,2012 09 09,52.78,175.01
M 5.5 Crete,2012 09 12,34.781,24.109
M 5.5 Fiji Region,2012 09 13,-18.621,175.843
M 5.5 Southern Mid-atlantic Ridge,2012 09 14,-39.676,-16.01
M 5.5 New Britain Region,2012 09 17,-5.687,150.119
M 5.5 Tonga,2012 09 22,-20.896,-174.194
M 5.5 Tonga,2012 09 24,-21.212,-174.292
M 5.5 Oaxaca,2012 09 29,16.304,-98.393
M 5.5 Balleny Islands Region,2012 10 02,-64.969,177.83
M 5.5 Off The Coast Of Guatemala,2012 10 05,13.029,-91.5
M 5.5 Gulf Of California,2012 10 05,23.582,-108.512
M 5.5 Valparaiso,2012 10 11,-32.865,-70.31
M 5.5 Azerbaijan,2012 10 14,41.832,46.406
M 5.5 Chiapas,2012 10 14,14.684,-92.289
M 5.5 Guatemala,2012 10 15,14.062,-91.01
M 5.5 Kermadec Islands Region,2012 10 19,-30.809,-176.8
M 5.5 Iceland Region,2012 10 21,66.317,-18.666
M 5.5 Queen Charlotte Islands Region,2012 10 28,52.294,-132.082
M 5.5 Flores Region,2012 10 29,-8.185,123.465
M 5.5 Near East Coast Of Kamchatka,2012 11 02,55.887,162.799
M 5.5 Southeast Of Easter Island,2012 11 06,-35.465,-104.8
M 5.5 Myanmar,2012 11 11,23.132,95.866
M 5.5 Near Islands,2012 11 15,52.496,173.351
M 5.5 Near Coast Of Northern Peru,2012 11 29,-6.588,-81.07
M 5.5 Offshore Guatemala,2012 11 29,13.757,-92.113
M 5.5 Philippine Islands Region,2012 12 06,10.974,126.638
M 5.5 Off East Coast Of Honshu,2012 12 07,37.828,143.607
M 5.5 East Of Severnaya Zemlya,2012 12 13,80.812,121.443
M 5.5 Myanmar,2012 12 22,22.436,94.772
M 5.5 Pacific-antarctic Ridge,2012 12 26,-56.186,-144.483
M 5.5 Sulawesi,2012 12 28,-0.245,122.94
M 5.5 Hindu Kush Region,2012 12 29,35.684,70.589
